"site","nsamps","nsubs","repl","hab_woody","hab_grass","rich.tot","rich.pif","rich.for"
1,1,1,1,1,0,12,2,4
1,1,2,1,1,0,14,2,1
1,1,3,1,1,0,32,4,8
1,1,4,1,1,0,27,4,6
1,1,5,1,0,1,35,3,6
1,1,6,1,0,1,42,7,6
1,1,7,1,0,1,26,4,3
1,1,8,1,1,0,23,3,4
1,2,1,1,1,0,31,4,6
1,2,2,1,1,0,29,7,6
1,2,3,1,1,0,37,4,7
1,2,4,1,1,1,35,4,6
1,2,5,1,1,1,40,5,6
1,2,6,1,1,0,37,5,7
1,2,7,1,1,0,38,4,8
1,2,8,1,1,0,39,4,6
1,3,1,1,1,1,31,3,6
1,3,2,1,1,1,37,7,4
1,3,3,1,1,1,44,7,6
1,3,4,1,1,0,40,7,7
1,3,5,1,1,1,47,5,8
1,3,6,1,1,0,45,6,8
1,3,7,1,1,0,46,7,11
1,3,8,1,1,0,46,7,8
1,4,1,1,1,0,32,6,5
1,4,2,1,1,0,33,5,6
1,4,3,1,1,1,35,3,7
1,4,4,1,1,0,47,9,7
1,4,5,1,1,0,51,9,10
1,4,6,1,1,0,44,5,11
1,4,7,1,1,0,54,7,10
1,4,8,1,1,0,48,7,9
1,5,1,1,1,0,34,3,8
1,5,2,1,1,0,40,6,8
1,5,3,1,1,0,42,5,9
1,5,4,1,1,0,45,7,10
1,5,5,1,1,0,50,9,10
1,5,6,1,1,0,51,9,10
1,5,7,1,1,1,51,9,9
1,5,8,1,1,0,50,7,9
1,6,1,1,1,1,40,7,8
1,6,2,1,1,1,53,11,9
1,6,3,1,1,0,44,9,9
1,6,4,1,1,0,48,9,10
1,6,5,1,1,0,53,9,10
1,6,6,1,1,1,54,9,12
1,6,7,1,1,0,53,9,11
1,7,1,1,1,1,36,4,7
1,7,2,1,1,1,42,6,7
1,7,3,1,1,1,47,7,11
1,7,4,1,1,0,51,8,9
1,7,5,1,1,0,47,7,8
1,7,6,1,1,1,54,9,11
1,7,7,1,1,0,54,10,11
1,8,1,1,1,1,37,6,8
1,8,2,1,1,0,46,9,9
1,8,3,1,1,1,53,10,10
1,8,4,1,1,1,57,11,8
1,8,5,1,1,0,51,9,10
1,8,6,1,1,1,53,10,11
1,8,7,1,1,0,53,8,11
1,9,1,1,1,1,42,6,8
1,9,2,1,1,1,43,7,8
1,9,3,1,1,1,46,7,9
