"","site","nsamps","nsubs","repl","hab_woody","hab_grass","rich.tot","rich.pif","rich.for"
"1",1,1,1,1,1,0,10,2,4
"2",1,1,1,2,1,0,8,0,0
"3",1,1,1,3,1,0,9,0,2
"4",1,1,1,4,1,0,7,0,3
"5",1,1,1,5,1,0,12,0,2
"6",1,1,1,6,0,1,7,1,0
"7",1,1,1,7,1,0,4,1,0
"8",1,1,1,8,1,0,11,1,1
"9",1,1,1,9,1,0,11,1,1
"10",1,1,1,10,1,0,9,0,1
"11",1,1,1,11,1,0,8,1,1
"12",1,1,1,12,0,1,7,1,0
"13",1,1,1,13,1,0,9,0,4
"14",1,1,1,14,0,1,10,1,0
"15",1,1,1,15,1,0,12,0,3
"16",1,1,1,16,1,0,9,0,2
"17",1,1,1,17,1,0,8,0,1
"18",1,1,1,18,0,1,10,1,0
"19",1,1,1,19,1,0,9,0,2
"20",1,1,1,20,1,0,9,0,1
"21",1,1,1,21,1,0,8,3,2
"22",1,1,1,22,1,0,12,2,0
"23",1,1,1,23,1,0,9,0,2
"24",1,1,1,24,1,0,8,2,1
"25",1,1,1,25,1,0,9,0,1
"26",1,1,1,26,1,0,7,1,0
"27",1,1,1,27,1,0,8,2,0
"28",1,1,1,28,1,0,11,1,1
"29",1,1,1,29,1,0,10,2,4
"30",1,1,1,30,1,0,4,0,1
"31",1,1,1,31,1,0,7,0,2
"32",1,1,1,32,1,0,8,1,2
"33",1,1,1,33,1,0,9,0,2
"34",1,1,1,34,1,0,4,1,2
"35",1,1,1,35,1,0,7,0,2
"36",1,1,1,36,1,0,9,1,2
"37",1,1,1,37,1,0,13,3,2
"38",1,1,1,38,1,0,11,1,1
"39",1,1,1,39,1,0,6,0,0
"40",1,1,1,40,1,0,9,0,2
"41",1,1,1,41,1,0,11,1,1
"42",1,1,1,42,1,0,10,2,1
"43",1,1,1,43,1,0,13,1,3
"44",1,1,1,44,1,0,12,1,5
"45",1,1,1,45,1,0,10,1,1
"46",1,1,1,46,1,0,10,1,2
"47",1,1,1,47,1,0,7,2,0
"48",1,1,1,48,1,0,15,1,6
"49",1,1,1,49,1,0,8,0,0
"50",1,1,1,50,1,0,10,1,1
"51",1,1,1,51,1,0,13,1,3
"52",1,1,1,52,1,0,12,0,4
"53",1,1,1,53,1,0,5,1,0
"54",1,1,1,54,1,0,15,1,6
"55",1,1,1,55,1,0,10,0,2
"56",1,1,1,56,1,0,6,0,1
"57",1,1,1,57,1,0,12,0,3
"58",1,1,1,58,1,0,10,1,2
"59",1,1,1,59,1,0,7,1,0
"60",1,1,1,60,1,0,10,0,4
"61",1,1,1,61,1,0,8,0,1
"62",1,1,1,62,1,0,10,0,1
"63",1,1,1,63,1,0,7,1,0
"64",1,1,1,64,1,0,10,0,4
"65",1,1,1,65,1,0,8,0,0
"66",1,1,1,66,1,0,6,0,0
"67",1,1,1,67,1,0,4,1,1
"68",1,1,1,68,1,0,4,1,1
"69",1,1,1,69,1,0,10,0,5
"70",1,1,1,70,1,0,9,0,3
"71",1,1,1,71,1,0,9,0,1
"72",1,1,1,72,1,0,8,2,1
"73",1,1,1,73,1,0,11,0,3
"74",1,1,1,74,1,0,6,0,1
"75",1,1,1,75,1,0,8,0,0
"76",1,1,1,76,1,0,8,0,2
"77",1,1,1,77,1,0,9,1,2
"78",1,1,1,78,1,0,9,0,2
"79",1,1,1,79,0,1,14,2,1
"80",1,1,1,80,1,0,9,0,2
"81",1,1,1,81,1,0,12,0,4
"82",1,1,1,82,1,0,9,1,2
"83",1,1,1,83,1,0,9,0,2
"84",1,1,1,84,0,1,12,1,0
"85",1,1,1,85,1,0,8,1,2
"86",1,1,1,86,1,0,10,2,4
"87",1,1,1,87,1,0,10,0,3
"88",1,1,1,88,1,0,7,1,0
"89",1,1,1,89,1,0,7,1,1
"90",1,1,1,90,1,0,9,1,2
"91",1,1,1,91,1,0,11,1,4
"92",1,1,1,92,1,0,9,0,2
"93",1,1,1,93,1,0,12,1,4
"94",1,1,1,94,1,0,8,0,2
"95",1,1,1,95,1,0,14,2,4
"96",1,1,1,96,1,0,7,0,2
"97",1,1,1,97,1,0,8,1,2
"98",1,1,1,98,1,0,9,0,4
"99",1,1,1,99,1,0,10,1,2
"100",1,1,1,100,1,0,10,0,3
"101",1,1,2,1,1,0,14,2,1
"102",1,1,2,2,1,0,18,2,4
"103",1,1,2,3,0,1,16,2,0
"104",1,1,2,4,1,0,19,1,6
"105",1,1,2,5,1,0,14,0,5
"106",1,1,2,6,1,0,18,1,4
"107",1,1,2,7,1,0,13,0,4
"108",1,1,2,8,1,0,14,1,4
"109",1,1,2,9,1,0,15,1,3
"110",1,1,2,10,1,0,12,2,1
"111",1,1,2,11,1,0,12,0,1
"112",1,1,2,12,1,0,12,2,4
"113",1,1,2,13,1,0,9,2,0
"114",1,1,2,14,1,0,14,1,4
"115",1,1,2,15,0,1,14,2,2
"116",1,1,2,16,1,0,11,0,2
"117",1,1,2,17,0,1,13,1,0
"118",1,1,2,18,1,0,17,0,5
"119",1,1,2,19,1,0,13,1,3
"120",1,1,2,20,1,0,14,1,4
"121",1,1,2,21,1,0,17,0,5
"122",1,1,2,22,0,1,11,1,0
"123",1,1,2,23,1,0,15,1,2
"124",1,1,2,24,1,0,17,3,3
"125",1,1,2,25,1,0,16,1,4
"126",1,1,2,26,1,0,13,3,2
"127",1,1,2,27,1,0,14,1,4
"128",1,1,2,28,1,0,13,1,1
"129",1,1,2,29,1,0,9,1,2
"130",1,1,2,30,1,0,18,0,3
"131",1,1,2,31,1,0,13,3,0
"132",1,1,2,32,1,0,12,0,5
"133",1,1,2,33,1,0,16,3,2
"134",1,1,2,34,1,0,9,1,2
"135",1,1,2,35,1,0,20,2,8
"136",1,1,2,36,1,0,13,0,3
"137",1,1,2,37,1,0,17,3,3
"138",1,1,2,38,1,0,20,1,7
"139",1,1,2,39,1,0,20,1,4
"140",1,1,2,40,0,1,13,3,0
"141",1,1,2,41,1,0,20,1,7
"142",1,1,2,42,1,0,12,1,4
"143",1,1,2,43,1,0,14,1,4
"144",1,1,2,44,1,0,15,0,3
"145",1,1,2,45,1,0,13,3,5
"146",1,1,2,46,1,0,19,3,6
"147",1,1,2,47,1,0,13,0,3
"148",1,1,2,48,1,0,16,0,4
"149",1,1,2,49,1,0,15,1,3
"150",1,1,2,50,1,0,12,1,2
"151",1,1,2,51,1,0,17,0,4
"152",1,1,2,52,1,0,13,0,4
"153",1,1,2,53,1,0,14,1,4
"154",1,1,2,54,1,0,12,2,4
"155",1,1,2,55,1,0,16,1,2
"156",1,1,2,56,1,0,13,1,3
"157",1,1,2,57,1,0,14,2,4
"158",1,1,2,58,1,0,12,1,3
"159",1,1,2,59,1,0,17,2,4
"160",1,1,2,60,1,0,11,1,4
"161",1,1,2,61,1,0,13,0,1
"162",1,1,2,62,1,0,16,4,5
"163",1,1,2,63,1,0,14,0,2
"164",1,1,2,64,1,0,17,0,4
"165",1,1,2,65,0,1,13,3,0
"166",1,1,2,66,1,0,12,1,1
"167",1,1,2,67,1,0,12,2,0
"168",1,1,2,68,1,0,13,0,4
"169",1,1,2,69,1,0,17,0,2
"170",1,1,2,70,1,0,16,1,2
"171",1,1,2,71,1,0,16,0,2
"172",1,1,2,72,0,1,18,1,1
"173",1,1,2,73,1,0,17,0,5
"174",1,1,2,74,1,0,18,2,6
"175",1,1,2,75,1,0,13,0,4
"176",1,1,2,76,1,0,17,2,4
"177",1,1,2,77,0,1,18,2,0
"178",1,1,2,78,1,0,18,0,6
"179",1,1,2,79,0,1,17,2,2
"180",1,1,2,80,1,0,16,0,4
"181",1,1,2,81,1,0,15,0,4
"182",1,1,2,82,1,0,12,2,0
"183",1,1,2,83,1,0,21,2,6
"184",1,1,2,84,1,0,14,1,3
"185",1,1,2,85,1,0,16,1,2
"186",1,1,2,86,0,1,16,2,0
"187",1,1,2,87,1,0,14,2,2
"188",1,1,2,88,1,0,8,1,0
"189",1,1,2,89,1,0,17,0,6
"190",1,1,2,90,1,0,11,0,3
"191",1,1,2,91,1,0,15,0,1
"192",1,1,2,92,1,0,12,3,0
"193",1,1,2,93,1,0,13,0,1
"194",1,1,2,94,1,0,16,2,1
"195",1,1,2,95,1,0,14,1,0
"196",1,1,2,96,1,0,18,1,4
"197",1,1,2,97,1,0,14,1,1
"198",1,1,2,98,1,0,21,1,7
"199",1,1,2,99,1,0,20,1,4
"200",1,1,2,100,1,0,12,0,5
"201",1,1,3,1,1,0,25,2,8
"202",1,1,3,2,1,0,14,1,3
"203",1,1,3,3,1,0,17,2,5
"204",1,1,3,4,1,0,12,1,2
"205",1,1,3,5,1,0,14,2,0
"206",1,1,3,6,1,0,11,0,3
"207",1,1,3,7,1,0,17,3,4
"208",1,1,3,8,1,0,16,3,4
"209",1,1,3,9,1,0,18,1,1
"210",1,1,3,10,0,1,17,1,0
"211",1,1,3,11,0,1,19,3,0
"212",1,1,3,12,1,0,21,0,6
"213",1,1,3,13,1,0,20,3,4
"214",1,1,3,14,1,0,20,3,7
"215",1,1,3,15,1,0,12,1,1
"216",1,1,3,16,1,0,20,2,4
"217",1,1,3,17,1,0,20,0,4
"218",1,1,3,18,1,0,24,1,7
"219",1,1,3,19,1,0,20,0,3
"220",1,1,3,20,1,0,12,2,1
"221",1,1,3,21,1,0,21,3,4
"222",1,1,3,22,1,0,20,1,6
"223",1,1,3,23,1,0,21,3,4
"224",1,1,3,24,1,0,24,2,8
"225",1,1,3,25,1,0,16,1,4
"226",1,1,3,26,1,0,17,1,3
"227",1,1,3,27,1,0,21,0,5
"228",1,1,3,28,1,0,16,1,5
"229",1,1,3,29,1,0,17,3,4
"230",1,1,3,30,1,0,18,0,3
"231",1,1,3,31,1,0,16,1,2
"232",1,1,3,32,0,1,15,3,1
"233",1,1,3,33,1,0,18,0,6
"234",1,1,3,34,1,0,15,1,3
"235",1,1,3,35,1,0,22,2,8
"236",1,1,3,36,0,1,21,4,0
"237",1,1,3,37,1,0,20,0,5
"238",1,1,3,38,1,0,22,1,4
"239",1,1,3,39,1,0,17,2,4
"240",1,1,3,40,1,0,16,1,4
"241",1,1,3,41,1,0,18,0,5
"242",1,1,3,42,1,0,13,0,4
"243",1,1,3,43,1,0,21,1,6
"244",1,1,3,44,0,1,18,3,2
"245",1,1,3,45,1,0,16,3,4
"246",1,1,3,46,0,1,16,3,0
"247",1,1,3,47,1,0,19,0,6
"248",1,1,3,48,1,0,17,3,4
"249",1,1,3,49,1,0,20,0,3
"250",1,1,3,50,0,1,15,5,0
"251",1,1,3,51,1,0,16,1,4
"252",1,1,3,52,1,0,22,1,6
"253",1,1,3,53,0,1,21,4,0
"254",1,1,3,54,1,0,17,3,5
"255",1,1,3,55,1,0,14,2,1
"256",1,1,3,56,1,0,21,3,4
"257",1,1,3,57,1,0,18,0,3
"258",1,1,3,58,1,0,19,0,6
"259",1,1,3,59,1,0,19,0,3
"260",1,1,3,60,1,0,18,3,5
"261",1,1,3,61,1,0,17,0,4
"262",1,1,3,62,0,1,19,2,1
"263",1,1,3,63,1,0,20,0,4
"264",1,1,3,64,1,0,13,1,5
"265",1,1,3,65,1,0,18,1,4
"266",1,1,3,66,1,0,18,1,4
"267",1,1,3,67,1,0,20,0,4
"268",1,1,3,68,1,0,17,0,5
"269",1,1,3,69,1,0,15,0,4
"270",1,1,3,70,1,0,13,0,4
"271",1,1,3,71,1,0,16,0,5
"272",1,1,3,72,0,1,18,5,0
"273",1,1,3,73,1,0,16,0,3
"274",1,1,3,74,1,0,20,3,6
"275",1,1,3,75,1,0,23,2,6
"276",1,1,3,76,1,0,14,2,1
"277",1,1,3,77,1,0,21,1,6
"278",1,1,3,78,1,0,17,3,1
"279",1,1,3,79,1,0,21,2,4
"280",1,1,3,80,1,0,23,2,7
"281",1,1,3,81,1,0,13,0,2
"282",1,1,3,82,1,0,18,0,3
